HL7	MIME base64 encoding characters	0290	(pad)	=
HL7	MIME base64 encoding characters	0290	0	A
HL7	MIME base64 encoding characters	0290	1	B
HL7	MIME base64 encoding characters	0290	10	K
HL7	MIME base64 encoding characters	0290	11	L
HL7	MIME base64 encoding characters	0290	12	M
HL7	MIME base64 encoding characters	0290	13	N
HL7	MIME base64 encoding characters	0290	14	O
HL7	MIME base64 encoding characters	0290	15	P
HL7	MIME base64 encoding characters	0290	16	Q
HL7	MIME base64 encoding characters	0290	17	R
HL7	MIME base64 encoding characters	0290	18	S
HL7	MIME base64 encoding characters	0290	19	T
HL7	MIME base64 encoding characters	0290	2	C
HL7	MIME base64 encoding characters	0290	20	U
HL7	MIME base64 encoding characters	0290	21	V
HL7	MIME base64 encoding characters	0290	22	W
HL7	MIME base64 encoding characters	0290	23	X
HL7	MIME base64 encoding characters	0290	24	Y
HL7	MIME base64 encoding characters	0290	25	Z
HL7	MIME base64 encoding characters	0290	26	a
HL7	MIME base64 encoding characters	0290	27	b
HL7	MIME base64 encoding characters	0290	28	c
HL7	MIME base64 encoding characters	0290	29	d
HL7	MIME base64 encoding characters	0290	3	D
HL7	MIME base64 encoding characters	0290	30	e
HL7	MIME base64 encoding characters	0290	31	f
HL7	MIME base64 encoding characters	0290	32	g
HL7	MIME base64 encoding characters	0290	33	h
HL7	MIME base64 encoding characters	0290	34	I
HL7	MIME base64 encoding characters	0290	35	j
HL7	MIME base64 encoding characters	0290	36	k
HL7	MIME base64 encoding characters	0290	37	l
HL7	MIME base64 encoding characters	0290	38	m
HL7	MIME base64 encoding characters	0290	39	n
HL7	MIME base64 encoding characters	0290	4	E
HL7	MIME base64 encoding characters	0290	40	o
HL7	MIME base64 encoding characters	0290	41	p
HL7	MIME base64 encoding characters	0290	42	q
HL7	MIME base64 encoding characters	0290	43	r
HL7	MIME base64 encoding characters	0290	44	s
HL7	MIME base64 encoding characters	0290	45	t
HL7	MIME base64 encoding characters	0290	46	u
HL7	MIME base64 encoding characters	0290	47	v
HL7	MIME base64 encoding characters	0290	48	w
HL7	MIME base64 encoding characters	0290	49	x
HL7	MIME base64 encoding characters	0290	5	F
HL7	MIME base64 encoding characters	0290	50	y
HL7	MIME base64 encoding characters	0290	51	z
HL7	MIME base64 encoding characters	0290	52	0
HL7	MIME base64 encoding characters	0290	53	1
HL7	MIME base64 encoding characters	0290	54	2
HL7	MIME base64 encoding characters	0290	55	3
HL7	MIME base64 encoding characters	0290	56	4
HL7	MIME base64 encoding characters	0290	57	5
HL7	MIME base64 encoding characters	0290	58	6
HL7	MIME base64 encoding characters	0290	59	7
HL7	MIME base64 encoding characters	0290	6	G
HL7	MIME base64 encoding characters	0290	60	8
HL7	MIME base64 encoding characters	0290	61	9
HL7	MIME base64 encoding characters	0290	62	+
HL7	MIME base64 encoding characters	0290	63	/
HL7	MIME base64 encoding characters	0290	7	H
HL7	MIME base64 encoding characters	0290	8	I
HL7	MIME base64 encoding characters	0290	9	J
