ISO	Currency and funds code	ISO4217	LBP	Lebanon - Pounds
ISO	Currency and funds code	ISO4217	LKR	Sri Lanka - Rupees
ISO	Currency and funds code	ISO4217	LRD	Liberia - Dollars
ISO	Currency and funds code	ISO4217	LSL	Lesotho - Maloti
ISO	Currency and funds code	ISO4217	LTL	Lithuania - Litai
ISO	Currency and funds code	ISO4217	LVL	Latvia - Lati
ISO	Currency and funds code	ISO4217	LYD	Libya - Dinars
ISO	Currency and funds code	ISO4217	MAD	Morocco - Dirhams
ISO	Currency and funds code	ISO4217	MDL	Moldova - Lei
ISO	Currency and funds code	ISO4217	MGA	Madagascar - Ariary
ISO	Currency and funds code	ISO4217	MKD	Macedonia - Denars
ISO	Currency and funds code	ISO4217	MMK	Myanmar (Burma) - Kyats
ISO	Currency and funds code	ISO4217	MNT	Mongolia - Tugriks
ISO	Currency and funds code	ISO4217	MOP	Macau - Patacas
ISO	Currency and funds code	ISO4217	MRO	Mauritania - Ouguiyas
ISO	Currency and funds code	ISO4217	MTL	Malta - Liri
ISO	Currency and funds code	ISO4217	MUR	Mauritius - Rupees
ISO	Currency and funds code	ISO4217	MVR	Maldives (Maldive Islands) - Rufiyaa
ISO	Currency and funds code	ISO4217	MWK	Malawi - Kwachas
ISO	Currency and funds code	ISO4217	MXN	Mexico - Pesos
ISO	Currency and funds code	ISO4217	MYR	Malaysia - Ringgits
ISO	Currency and funds code	ISO4217	MZM	Mozambique - Meticais [being phased out]
ISO	Currency and funds code	ISO4217	MZN	Mozambique - Meticais [newer unit, same name]
ISO	Currency and funds code	ISO4217	NAD	Namibia - Dollars
ISO	Currency and funds code	ISO4217	NGN	Nigeria - Nairas
ISO	Currency and funds code	ISO4217	NIO	Nicaragua - Cordobas
ISO	Currency and funds code	ISO4217	NOK	Norway - Krone
ISO	Currency and funds code	ISO4217	NPR	Nepal - Nepal Rupees
ISO	Currency and funds code	ISO4217	NZD	New Zealand - Dollars
ISO	Currency and funds code	ISO4217	OMR	Oman - Rials
ISO	Currency and funds code	ISO4217	PAB	Panama - Balboa
ISO	Currency and funds code	ISO4217	PEN	Peru - Nuevos Soles
ISO	Currency and funds code	ISO4217	PGK	Papua New Guinea - Kina
ISO	Currency and funds code	ISO4217	PHP	Philippines - Pesos
ISO	Currency and funds code	ISO4217	PKR	Pakistan - Rupees
ISO	Currency and funds code	ISO4217	PLN	Poland - Zlotych
ISO	Currency and funds code	ISO4217	PYG	Paraguay - Guarani
ISO	Currency and funds code	ISO4217	QAR	Qatar - Rials
ISO	Currency and funds code	ISO4217	ROL	Romania - Lei [being phased out]
ISO	Currency and funds code	ISO4217	RON	Romania - New Lei
ISO	Currency and funds code	ISO4217	RUB	Russia - Rubles
ISO	Currency and funds code	ISO4217	RWF	Rwanda - Rwanda Francs
ISO	Currency and funds code	ISO4217	SAR	Saudi Arabia - Riyals
ISO	Currency and funds code	ISO4217	SBD	Solomon Islands - Dollars
ISO	Currency and funds code	ISO4217	SCR	Seychelles - Rupees
ISO	Currency and funds code	ISO4217	SDD	Sudan - Dinars
ISO	Currency and funds code	ISO4217	SEK	Sweden - Kronor
ISO	Currency and funds code	ISO4217	SGD	Singapore - Dollars
ISO	Currency and funds code	ISO4217	SHP	Saint Helena - Pounds
ISO	Currency and funds code	ISO4217	SIT	Slovenia - Tolars
ISO	Currency and funds code	ISO4217	SKK	Slovakia - Koruny
ISO	Currency and funds code	ISO4217	SLL	Sierra Leone - Leones
ISO	Currency and funds code	ISO4217	SOS	Somalia - Shillings
ISO	Currency and funds code	ISO4217	SPL	Seborga - Luigini
ISO	Currency and funds code	ISO4217	SRD	Suriname - Dollars
ISO	Currency and funds code	ISO4217	STD	São Tome and Principe - Dobras
ISO	Currency and funds code	ISO4217	SVC	El Salvador - Colones
ISO	Currency and funds code	ISO4217	SYP	Syria - Pounds
ISO	Currency and funds code	ISO4217	SZL	Swaziland - Emalangeni
ISO	Currency and funds code	ISO4217	THB	Thailand - Baht
ISO	Currency and funds code	ISO4217	TJS	Tajikistan - Somoni
ISO	Currency and funds code	ISO4217	TMM	Turkmenistan - Manats
ISO	Currency and funds code	ISO4217	TND	Tunisia - Dinars
ISO	Currency and funds code	ISO4217	TRY	Turkey - New Lira
ISO	Currency and funds code	ISO4217	TTD	Trinidad and Tobago - Dollars
ISO	Currency and funds code	ISO4217	TVD	Tuvalu - Tuvalu Dollars
ISO	Currency and funds code	ISO4217	TWD	Taiwan - New Dollars
ISO	Currency and funds code	ISO4217	TZS	Tanzania - Shillings
ISO	Currency and funds code	ISO4217	UAH	Ukraine - Hryvnia
ISO	Currency and funds code	ISO4217	UGX	Uganda - Shillings
ISO	Currency and funds code	ISO4217	USD	United States of America - Dollars
ISO	Currency and funds code	ISO4217	UYU	Uruguay - Pesos
ISO	Currency and funds code	ISO4217	UZS	Uzbekistan - Sums
ISO	Currency and funds code	ISO4217	VEB	Venezuela - Bolivares
ISO	Currency and funds code	ISO4217	VND	Viet Nam - Dong
ISO	Currency and funds code	ISO4217	VUV	Vanuatu - Vatu
ISO	Currency and funds code	ISO4217	WST	Samoa - Tala
ISO	Currency and funds code	ISO4217	XAF	Communauté Financière Africaine BEAC - Francs
ISO	Currency and funds code	ISO4217	XAG	Silver - Ounces
ISO	Currency and funds code	ISO4217	XAU	Gold - Ounces
ISO	Currency and funds code	ISO4217	XCD	East Caribbean Dollars
ISO	Currency and funds code	ISO4217	XDR	International Monetary Fund (IMF) Special Drawing Rights
ISO	Currency and funds code	ISO4217	XOF	Communauté Financière Africaine BCEAO - Francs
ISO	Currency and funds code	ISO4217	XPD	Palladium Ounces
ISO	Currency and funds code	ISO4217	XPF	Comptoirs Français du Pacifique Francs
ISO	Currency and funds code	ISO4217	XPT	Platinum - Ounces
ISO	Currency and funds code	ISO4217	YER	Yemen - Rials
ISO	Currency and funds code	ISO4217	ZAR	South Africa - Rand
ISO	Currency and funds code	ISO4217	ZMK	Zambia - Kwacha
ISO	Currency and funds code	ISO4217	ZWN	Zimbabwe - Zimbabwe Dollars
