User	Military Service	0140	AUSA	Australian Army
User	Military Service	0140	AUSAF	Australian Air Force
User	Military Service	0140	AUSN	Australian Navy
User	Military Service	0140	NATO	North Atlantic Treaty Organization
User	Military Service	0140	NOAA	National Oceanic and Atmospheric Administration
User	Military Service	0140	USA	US Army
User	Military Service	0140	USAF	US Air Force
User	Military Service	0140	USCG	US Coast Guard
User	Military Service	0140	USMC	US Marine Corps
User	Military Service	0140	USN	US Navy
User	Military Service	0140	USPHS	US Public Health Service
